,org_name,group_PAC_ID,state,ACO_PC_ID_1,ACO_name_1,ACO_PC_ID_2,ACO_name_2,measure_code,measure_title,inverse_measure,measure_performance_rate,denominator_count,star_value,five_star_benchmark,collection_type,from_PC_livesite
10833,"OPTIMUM KIDNEY CARE, SC",1052325321,IL,A1307,Medicare Value Partners,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,5.0,249.0,None,None,ATT,N
10835,"OPTIMUM KIDNEY CARE, SC",1052325321,IL,A1307,Medicare Value Partners,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,0.0,249.0,None,None,ATT,N
10836,"OPTIMUM KIDNEY CARE, SC",1052325321,IL,A1307,Medicare Value Partners,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,21.0,249.0,None,None,ATT,N
10837,"INTERNAL MEDICINE AND GERIATRICS PRACTICE, INC",5597767426,NJ,A1037,"RGV ACO Health Providers, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,90.0,6112.0,None,None,ATT,N
10838,"INTERNAL MEDICINE AND GERIATRICS PRACTICE, INC",5597767426,NJ,A1037,"RGV ACO Health Providers, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,16.0,333.0,None,None,ATT,N
10839,"INTERNAL MEDICINE AND GERIATRICS PRACTICE, INC",5597767426,NJ,A1037,"RGV ACO Health Providers, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,87.0,117.0,None,None,ATT,N
10840,"INTERNAL MEDICINE AND GERIATRICS PRACTICE, INC",5597767426,NJ,A1037,"RGV ACO Health Providers, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,61.0,888.0,None,None,ATT,N
10841,"INTERNAL MEDICINE AND GERIATRICS PRACTICE, INC",5597767426,NJ,A1037,"RGV ACO Health Providers, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,6.0,888.0,None,None,ATT,N
10843,"INTERNAL MEDICINE AND GERIATRICS PRACTICE, INC",5597767426,NJ,A1037,"RGV ACO Health Providers, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,37.0,888.0,None,None,ATT,N
10844,"INTERNAL MEDICINE AND GERIATRICS PRACTICE, INC",5597767426,NJ,A1037,"RGV ACO Health Providers, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,19.0,888.0,None,None,ATT,N
10856,SHANE EDWARD KELLER MD PA,2961426549,TX,A1669,Integrated ACO LLC,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,99.0,6916.0,None,None,ATT,N
10857,SHANE EDWARD KELLER MD PA,2961426549,TX,A1669,Integrated ACO LLC,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,5.0,56.0,None,None,ATT,N
10858,SHANE EDWARD KELLER MD PA,2961426549,TX,A1669,Integrated ACO LLC,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,76.0,2250.0,None,None,ATT,N
10859,SHANE EDWARD KELLER MD PA,2961426549,TX,A1669,Integrated ACO LLC,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,9.0,2250.0,None,None,ATT,N
10862,SHANE EDWARD KELLER MD PA,2961426549,TX,A1669,Integrated ACO LLC,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,2.0,2250.0,None,None,ATT,N
10863,SHANE EDWARD KELLER MD PA,2961426549,TX,A1669,Integrated ACO LLC,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,1.0,2250.0,None,None,ATT,N
10881,"MUKUND KOMANDURI M.D., S.C.",7113932310,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,68.0,929.0,None,None,ATT,N
10882,"MUKUND KOMANDURI M.D., S.C.",7113932310,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,59.0,64.0,None,None,ATT,N
10883,"MUKUND KOMANDURI M.D., S.C.",7113932310,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,92.0,1077.0,None,None,ATT,N
10884,"MUKUND KOMANDURI M.D., S.C.",7113932310,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,93.0,2616.0,None,None,ATT,N
10885,"MUKUND KOMANDURI M.D., S.C.",7113932310,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,0.0,2616.0,None,None,ATT,N
10888,"MUKUND KOMANDURI M.D., S.C.",7113932310,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,98.0,2616.0,None,None,ATT,N
10889,"MUKUND KOMANDURI M.D., S.C.",7113932310,IL,A1033,"Advocate Physician Partners Accountable Care, Inc.",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,2.0,2616.0,None,None,ATT,N
10890,RIVERS FAMILY MEDICINE PA,8224042106,FL,A2909,"Aledade Florida Central ACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,78.0,7207.0,None,None,ATT,N
10891,RIVERS FAMILY MEDICINE PA,8224042106,FL,A2909,"Aledade Florida Central ACO, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,13.0,549.0,None,None,ATT,N
10892,RIVERS FAMILY MEDICINE PA,8224042106,FL,A2909,"Aledade Florida Central ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,99.0,3200.0,None,None,ATT,N
10893,RIVERS FAMILY MEDICINE PA,8224042106,FL,A2909,"Aledade Florida Central ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,71.0,2172.0,None,None,ATT,N
10894,RIVERS FAMILY MEDICINE PA,8224042106,FL,A2909,"Aledade Florida Central ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,22.0,2172.0,None,None,ATT,N
10897,RIVERS FAMILY MEDICINE PA,8224042106,FL,A2909,"Aledade Florida Central ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,44.0,2172.0,None,None,ATT,N
10898,RIVERS FAMILY MEDICINE PA,8224042106,FL,A2909,"Aledade Florida Central ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,63.0,2172.0,None,None,ATT,N
10916,"HENRY ANESTHESIA ASSOCIATES, LLC",840211033,GA,A3250,Piedmont Clinic ACO LLC,None,None,MIPS_GRP_426_overall,Post-Anesthetic Transfer of Care Measure: Procedure Room to a Post Anesthesia Care Unit (PACU),N,98.0,2569.0,None,None,REG,N
10917,"HENRY ANESTHESIA ASSOCIATES, LLC",840211033,GA,A3250,Piedmont Clinic ACO LLC,None,None,MIPS_GRP_427_overall,Post-Anesthetic Transfer of Care: Use of Checklist or Protocol for Direct Transfer of Care from Procedure Room to Intensive Care Unit (ICU),N,100.0,48.0,None,None,REG,N
10918,"HENRY ANESTHESIA ASSOCIATES, LLC",840211033,GA,A3250,Piedmont Clinic ACO LLC,None,None,QCDR_GRP_AQI37_overall,Surgical Safety Checklist – Applicable Safety Checks Completed Before Induction of Anesthesia,N,100.0,4240.0,None,None,QCDR,Y
10930,EAST WOOD CLINIC PLLC,143249839,TN,A2654,Commonwealth Clinical Partners LLC,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,93.0,39773.0,None,None,ATT,N
10931,EAST WOOD CLINIC PLLC,143249839,TN,A2654,Commonwealth Clinical Partners LLC,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,38.0,21.0,None,None,ATT,N
10932,EAST WOOD CLINIC PLLC,143249839,TN,A2654,Commonwealth Clinical Partners LLC,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,57.0,10052.0,None,None,ATT,N
10933,EAST WOOD CLINIC PLLC,143249839,TN,A2654,Commonwealth Clinical Partners LLC,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,2.0,10052.0,None,None,ATT,N
10936,EAST WOOD CLINIC PLLC,143249839,TN,A2654,Commonwealth Clinical Partners LLC,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,15.0,10052.0,None,None,ATT,N
10937,EAST WOOD CLINIC PLLC,143249839,TN,A2654,Commonwealth Clinical Partners LLC,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,0.0,10052.0,None,None,ATT,N
11001,BAYSIDE FAMILY and SPORTS MEDICINE PC,6608881867,MI,A3475,"Trillium Health, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,81.0,6532.0,None,None,ATT,N
11002,BAYSIDE FAMILY and SPORTS MEDICINE PC,6608881867,MI,A3475,"Trillium Health, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,89.0,699.0,None,None,ATT,N
11003,BAYSIDE FAMILY and SPORTS MEDICINE PC,6608881867,MI,A3475,"Trillium Health, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,44.0,2843.0,None,None,ATT,N
11004,BAYSIDE FAMILY and SPORTS MEDICINE PC,6608881867,MI,A3475,"Trillium Health, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,23.0,2843.0,None,None,ATT,N
11007,BAYSIDE FAMILY and SPORTS MEDICINE PC,6608881867,MI,A3475,"Trillium Health, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,63.0,2843.0,None,None,ATT,N
11008,BAYSIDE FAMILY and SPORTS MEDICINE PC,6608881867,MI,A3475,"Trillium Health, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,26.0,2843.0,None,None,ATT,N
11009,"UVPC SPECIALISTS, INC.",8921022260,OH,V217,Premier Health ACO of Ohio,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,95.0,29317.0,None,None,ATT,N
11010,"UVPC SPECIALISTS, INC.",8921022260,OH,V217,Premier Health ACO of Ohio,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,16.0,213.0,None,None,ATT,N
11011,"UVPC SPECIALISTS, INC.",8921022260,OH,V217,Premier Health ACO of Ohio,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,98.0,26025.0,None,None,ATT,N
11012,"UVPC SPECIALISTS, INC.",8921022260,OH,V217,Premier Health ACO of Ohio,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,10.0,198652.0,None,None,ATT,N
11013,"UVPC SPECIALISTS, INC.",8921022260,OH,V217,Premier Health ACO of Ohio,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,39.0,19862.0,None,None,ATT,N
11016,"UVPC SPECIALISTS, INC.",8921022260,OH,V217,Premier Health ACO of Ohio,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,100.0,19862.0,None,None,ATT,N
11017,"UVPC SPECIALISTS, INC.",8921022260,OH,V217,Premier Health ACO of Ohio,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,37.0,19862.0,None,None,ATT,N
11031,"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY,A1409,"Balance Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,95.0,55733.0,None,None,ATT,N
11032,"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY,A1409,"Balance Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,38.0,8444.0,None,None,ATT,N
11033,"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY,A1409,"Balance Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,26.0,8444.0,None,None,ATT,N
11034,"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY,A1409,"Balance Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,2.0,4079.0,None,None,ATT,N
11035,"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY,A1409,"Balance Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,0.0,4065.0,None,None,ATT,N
11040,"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY,A1409,"Balance Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,47.0,4079.0,None,None,ATT,N
11041,"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY,A1409,"Balance Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,5.0,4079.0,None,None,ATT,N
11108,WILLIAM M HANDY MD PC,7810910205,VA,A1241,"AnewCare Collaborative, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,97.0,12301.0,None,None,ATT,N
11109,WILLIAM M HANDY MD PC,7810910205,VA,A1241,"AnewCare Collaborative, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,98.0,3304.0,None,None,ATT,N
11110,WILLIAM M HANDY MD PC,7810910205,VA,A1241,"AnewCare Collaborative, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,39.0,1614.0,None,None,ATT,N
11111,WILLIAM M HANDY MD PC,7810910205,VA,A1241,"AnewCare Collaborative, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,25.0,1614.0,None,None,ATT,N
11115,WILLIAM M HANDY MD PC,7810910205,VA,A1241,"AnewCare Collaborative, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,43.0,1614.0,None,None,ATT,N
11116,WILLIAM M HANDY MD PC,7810910205,VA,A1241,"AnewCare Collaborative, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,21.0,1614.0,None,None,ATT,N
11166,"NORTH JERSEY SPORTS MEDICINE and ORTHOPEDIC CENTER, LLC",6709895733,NJ,A1026,"AHS ACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,99.0,5166.0,None,None,ATT,N
11167,"NORTH JERSEY SPORTS MEDICINE and ORTHOPEDIC CENTER, LLC",6709895733,NJ,A1026,"AHS ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,80.0,16348.0,None,None,ATT,N
11168,"NORTH JERSEY SPORTS MEDICINE and ORTHOPEDIC CENTER, LLC",6709895733,NJ,A1026,"AHS ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,70.0,13494.0,None,None,ATT,N
11169,"NORTH JERSEY SPORTS MEDICINE and ORTHOPEDIC CENTER, LLC",6709895733,NJ,A1026,"AHS ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,2.0,13494.0,None,None,ATT,N
11171,"NORTH JERSEY SPORTS MEDICINE and ORTHOPEDIC CENTER, LLC",6709895733,NJ,A1026,"AHS ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,74.0,13494.0,None,None,ATT,N
11172,"NORTH JERSEY SPORTS MEDICINE and ORTHOPEDIC CENTER, LLC",6709895733,NJ,A1026,"AHS ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,0.0,13494.0,None,None,ATT,N
11180,"BRCH ONCOLOGY, LLC",4082612999,FL,A3256,"Palm Accountable Care Organization, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,94.0,1580.0,None,None,ATT,N
11181,"BRCH ONCOLOGY, LLC",4082612999,FL,A3256,"Palm Accountable Care Organization, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,13.0,265.0,None,None,ATT,N
11182,"BRCH ONCOLOGY, LLC",4082612999,FL,A3256,"Palm Accountable Care Organization, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,100.0,426.0,None,None,ATT,N
11183,"BRCH ONCOLOGY, LLC",4082612999,FL,A3256,"Palm Accountable Care Organization, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,61.0,7281.0,None,None,ATT,N
11187,"BRCH ONCOLOGY, LLC",4082612999,FL,A3256,"Palm Accountable Care Organization, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,49.0,7281.0,None,None,ATT,N
11188,ROME MEDICAL PRACTICE PC,1456366145,NY,A3454,"Trinity Integrated Care, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,96.0,5314.0,None,None,ATT,N
11189,ROME MEDICAL PRACTICE PC,1456366145,NY,A3454,"Trinity Integrated Care, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,4.0,767.0,None,None,ATT,N
11190,ROME MEDICAL PRACTICE PC,1456366145,NY,A3454,"Trinity Integrated Care, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,78.0,5170.0,None,None,ATT,N
11191,ROME MEDICAL PRACTICE PC,1456366145,NY,A3454,"Trinity Integrated Care, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,68.0,8191.0,None,None,ATT,N
11192,ROME MEDICAL PRACTICE PC,1456366145,NY,A3454,"Trinity Integrated Care, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,1.0,8191.0,None,None,ATT,N
11194,ROME MEDICAL PRACTICE PC,1456366145,NY,A3454,"Trinity Integrated Care, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,15.0,8190.0,None,None,ATT,N
11195,ROME MEDICAL PRACTICE PC,1456366145,NY,A3454,"Trinity Integrated Care, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,0.0,8191.0,None,None,ATT,N
11196,"SHAWN PURIFOY, M.D., P.A.",749295202,AR,A3299,"Aledade Arkansas ACO, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,77.0,5236.0,None,None,ATT,N
11197,"SHAWN PURIFOY, M.D., P.A.",749295202,AR,A3299,"Aledade Arkansas ACO, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,12.0,651.0,None,None,ATT,N
11198,"SHAWN PURIFOY, M.D., P.A.",749295202,AR,A3299,"Aledade Arkansas ACO, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,97.0,125.0,None,None,ATT,N
11199,"SHAWN PURIFOY, M.D., P.A.",749295202,AR,A3299,"Aledade Arkansas ACO, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,82.0,2729.0,None,None,ATT,N
11200,"SHAWN PURIFOY, M.D., P.A.",749295202,AR,A3299,"Aledade Arkansas ACO, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,7.0,2729.0,None,None,ATT,N
11204,"SHAWN PURIFOY, M.D., P.A.",749295202,AR,A3299,"Aledade Arkansas ACO, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,49.0,2729.0,None,None,ATT,N
11205,"SHAWN PURIFOY, M.D., P.A.",749295202,AR,A3299,"Aledade Arkansas ACO, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,15.0,2729.0,None,None,ATT,N
11210,CARE MD PLC,547364648,AZ,A2029,"Scottsdale Health Partners, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,56.0,3343.0,None,None,ATT,N
11211,CARE MD PLC,547364648,AZ,A2029,"Scottsdale Health Partners, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,1.0,404.0,None,None,ATT,N
11212,CARE MD PLC,547364648,AZ,A2029,"Scottsdale Health Partners, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,75.0,389.0,None,None,ATT,N
11213,CARE MD PLC,547364648,AZ,A2029,"Scottsdale Health Partners, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,45.0,1078.0,None,None,ATT,N
11215,CARE MD PLC,547364648,AZ,A2029,"Scottsdale Health Partners, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,23.0,1078.0,None,None,ATT,N
11216,CARE MD PLC,547364648,AZ,A2029,"Scottsdale Health Partners, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,8.0,1630.0,None,None,ATT,N
11221,GRACE CLINIC OF LUBBOCK,5597768101,TX,A1736,Amarillo Legacy Medical ACO,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,86.0,41418.0,None,None,ATT,N
11222,GRACE CLINIC OF LUBBOCK,5597768101,TX,A1736,Amarillo Legacy Medical ACO,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,31.0,3884.0,None,None,ATT,N
11223,GRACE CLINIC OF LUBBOCK,5597768101,TX,A1736,Amarillo Legacy Medical ACO,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,92.0,10619.0,None,None,ATT,N
11224,GRACE CLINIC OF LUBBOCK,5597768101,TX,A1736,Amarillo Legacy Medical ACO,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,95.0,18073.0,None,None,ATT,N
11225,GRACE CLINIC OF LUBBOCK,5597768101,TX,A1736,Amarillo Legacy Medical ACO,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,4.0,18073.0,None,None,ATT,N
11228,GRACE CLINIC OF LUBBOCK,5597768101,TX,A1736,Amarillo Legacy Medical ACO,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,16.0,18073.0,None,None,ATT,N
11229,GRACE CLINIC OF LUBBOCK,5597768101,TX,A1736,Amarillo Legacy Medical ACO,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,49.0,18073.0,None,None,ATT,N
11316,"KALLGREN DERMATOLOGY CLINIC, P.C.",2668487489,CO,V245,"National ACO, LLC",None,None,MIPS_GRP_137_overall,Melanoma: Continuity of Care - Recall System,N,100.0,63.0,None,None,REG,N
11317,"KALLGREN DERMATOLOGY CLINIC, P.C.",2668487489,CO,V245,"National ACO, LLC",None,None,MIPS_GRP_238_2+,Use of High-Risk Medications in the Elderly,Y,0.0,2025.0,None,None,REG,N
11318,"KALLGREN DERMATOLOGY CLINIC, P.C.",2668487489,CO,V245,"National ACO, LLC",None,None,MIPS_GRP_238_overall,Use of High-Risk Medications in the Elderly,Y,0.0,2025.0,None,None,REG,N
11319,"KALLGREN DERMATOLOGY CLINIC, P.C.",2668487489,CO,V245,"National ACO, LLC",None,None,MIPS_GRP_265_overall,Biopsy Follow-Up,N,100.0,394.0,None,None,REG,N
11320,"KALLGREN DERMATOLOGY CLINIC, P.C.",2668487489,CO,V245,"National ACO, LLC",None,None,MIPS_GRP_402_overall,Tobacco Use and Help with Quitting Among Adolescents,N,100.0,442.0,None,None,REG,N
11363,HAIK and TERRELL LLC,1456368711,LA,A1535,"Ochsner Accountable Care Network, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,79.0,3112.0,None,None,ATT,N
11370,"DERMCARE PHYSICIANS AND SURGEONS, LLC",9234141904,MA,V242,Partners Community Physicians Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,100.0,3680.0,None,None,ATT,N
11371,"DERMCARE PHYSICIANS AND SURGEONS, LLC",9234141904,MA,V242,Partners Community Physicians Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,89.0,8976.0,None,None,ATT,N
11372,"DERMCARE PHYSICIANS AND SURGEONS, LLC",9234141904,MA,V242,Partners Community Physicians Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,77.0,7578.0,None,None,ATT,N
11373,"DERMCARE PHYSICIANS AND SURGEONS, LLC",9234141904,MA,V242,Partners Community Physicians Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,33.0,7578.0,None,None,ATT,N
11375,"DERMCARE PHYSICIANS AND SURGEONS, LLC",9234141904,MA,V242,Partners Community Physicians Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,82.0,7409.0,None,None,ATT,N
11376,"DERMCARE PHYSICIANS AND SURGEONS, LLC",9234141904,MA,V242,Partners Community Physicians Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,20.0,7578.0,None,None,ATT,N
11380,AFRIDI HEART CARE PA,2062415326,TX,A1196,Methodist Patient Centered ACO,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,97.0,7103.0,None,None,ATT,N
11381,AFRIDI HEART CARE PA,2062415326,TX,A1196,Methodist Patient Centered ACO,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,87.0,97.0,None,None,ATT,N
11382,AFRIDI HEART CARE PA,2062415326,TX,A1196,Methodist Patient Centered ACO,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,87.0,5150.0,None,None,ATT,N
11383,AFRIDI HEART CARE PA,2062415326,TX,A1196,Methodist Patient Centered ACO,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,72.0,3197.0,None,None,ATT,N
11384,AFRIDI HEART CARE PA,2062415326,TX,A1196,Methodist Patient Centered ACO,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,6.0,3197.0,None,None,ATT,N
11387,AFRIDI HEART CARE PA,2062415326,TX,A1196,Methodist Patient Centered ACO,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,100.0,3197.0,None,None,ATT,N
11388,AFRIDI HEART CARE PA,2062415326,TX,A1196,Methodist Patient Centered ACO,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,6.0,3197.0,None,None,ATT,N
11403,SHERIDAN HEALTHCARE OF VERMONT INC,8022016930,VT,A1499,"OneCare Vermont Accountable Care Organization, LLC",None,None,QCDR_GRP_ABG21_overall,Pre-operative OSA assessment,N,85.0,4878.0,None,None,QCDR,Y
11406,LOWCOUNTRY UROLOGY CLINICS PA,6406869247,SC,A3281,"Roper St. Francis Health Alliance, LLC",None,None,MIPS_GRP_048_overall,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,47.0,2509.0,2.0,100.0,REG,Y
11407,LOWCOUNTRY UROLOGY CLINICS PA,6406869247,SC,A3281,"Roper St. Francis Health Alliance, LLC",None,None,MIPS_GRP_050_overall,Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N,36.0,1372.0,None,None,REG,N
11408,"CHINATOWN GASTROENTEROLOGY, P.C.",1759392459,NY,A1002,"Chinese Community Accountable Care Organization, Inc.",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,100.0,1642.0,None,None,ATT,N
11409,"CHINATOWN GASTROENTEROLOGY, P.C.",1759392459,NY,A1002,"Chinese Community Accountable Care Organization, Inc.",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,33.0,838.0,None,None,ATT,N
11410,"CHINATOWN GASTROENTEROLOGY, P.C.",1759392459,NY,A1002,"Chinese Community Accountable Care Organization, Inc.",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,98.0,43.0,None,None,ATT,N
